txn_year,MCC,total_spending,txn_count,avg_per_txn,grid_col,grid_row
2001,3001,20834.56,33,631.350303030303,5,6
2011,3001,140745.0,199,707.2613065326633,6,6
2002,3001,29067.33,36,807.4258333333333,7,6
2010,3001,154196.68,206,748.527572815534,8,6
1997,3001,7180.35,10,718.0350000000001,9,6
2009,3001,115900.79000000001,156,742.9537820512821,0,7
2003,3001,32228.46,45,716.188,1,7
2004,3001,37067.93,53,699.3949056603774,2,7
1995,3001,975.4,1,975.4,3,7
2008,3001,91069.92,120,758.9159999999999,4,7
2005,3001,80816.48,113,715.1900884955752,5,7
2007,3001,87456.97,126,694.1029365079365,6,7
1996,3001,2119.46,3,706.4866666666667,7,7
1994,3001,948.72,3,316.24,8,7
2019,3001,134194.32,181,741.4050828729282,9,7
1991,3001,70.25,1,70.25,0,8
2017,3001,166248.43,223,745.5086547085201,1,8
1992,3001,454.63,2,227.315,2,8
2015,3001,161114.05,220,732.3365909090909,3,8
2016,3001,184643.68,241,766.1563485477178,4,8
2018,3005,17413.59,22,791.5268181818182,5,8
2013,3005,22810.43,32,712.8259375,6,8
1995,3005,670.56,1,670.56,7,8
2016,3005,18032.62,26,693.5623076923076,8,8
2009,3005,21603.11,26,830.8888461538462,9,8
2002,3005,3255.34,3,1085.1133333333335,0,9
1999,3005,1556.0,2,778.0,1,9
2010,3005,15291.42,18,849.5233333333333,2,9
2011,3005,27101.56,31,874.2438709677419,3,9
2001,3005,416.01,1,416.01,4,9
2012,3005,19144.23,24,797.67625,5,9
2000,3005,1059.0900000000001,2,529.5450000000001,6,9
2015,3005,28613.1,36,794.8083333333333,7,9
2014,3005,25894.43,31,835.3041935483872,8,9
2017,3005,14636.87,17,860.9923529411765,9,9
2004,3005,7273.21,8,909.15125,0,10
2008,3005,16871.78,22,766.8990909090909,1,10
2007,3005,7079.62,11,643.6018181818182,2,10
2005,3005,11893.470000000001,17,699.6158823529413,3,10
2019,3005,23345.75,25,933.83,4,10
1996,3005,397.93,1,397.93,5,10
2003,3005,6276.66,8,784.5825,6,10
2006,3005,8032.5,9,892.5,7,10
2020,3006,3919.75,5,783.95,8,10
2005,3006,16414.48,21,781.6419047619047,9,10
2000,3006,2226.26,3,742.0866666666667,0,11
2012,3006,18349.87,19,965.7826315789473,1,11
2001,3006,2736.4,2,1368.2,2,11
2011,3006,21816.38,24,909.0158333333334,3,11
2003,3006,4704.5,8,588.0625,4,11
2004,3006,4651.98,7,664.5685714285713,5,11
2002,3006,2939.9,5,587.98,6,11
2009,3006,12883.57,15,858.9046666666667,7,11
2019,3006,14031.67,19,738.5089473684211,8,11
2016,3006,19093.59,21,909.2185714285714,9,11
1997,3006,1438.1399999999999,2,719.0699999999999,0,12
2017,3006,27389.04,32,855.9075,1,12
2007,3006,9291.78,12,774.315,2,12
2008,3006,11137.75,15,742.5166666666667,3,12
2006,3006,17486.64,21,832.6971428571428,4,12
2013,3006,24996.35,27,925.7907407407407,5,12
2010,3006,13818.71,16,863.669375,6,12
2014,3006,19262.92,22,875.5872727272726,7,12
2015,3006,14071.33,14,1005.095,8,12
2018,3006,17165.19,21,817.39,9,12
1999,3006,830.6,1,830.6,0,13
1999,3007,515.18,1,515.18,1,13
2001,3007,1504.51,2,752.255,2,13
2008,3007,21003.78,22,954.7172727272726,3,13
2015,3007,17262.59,21,822.0280952380953,4,13
2017,3007,17246.07,20,862.3035,5,13
2003,3007,1777.4,3,592.4666666666667,6,13
2012,3007,17542.21,19,923.2742105263158,7,13
2007,3007,12693.88,17,746.6988235294117,8,13
2016,3007,22475.89,25,899.0355999999999,9,13
2020,3007,3656.6800000000003,5,731.336,0,14
2009,3007,20785.06,22,944.7754545454546,1,14
2000,3007,1222.15,2,611.075,2,14
2014,3007,15343.189999999999,16,958.9493749999999,3,14
2019,3007,19798.85,27,733.2907407407407,4,14
2002,3007,2211.56,3,737.1866666666666,5,14
2004,3007,3448.95,7,492.70714285714286,6,14
2011,3007,21054.44,27,779.794074074074,7,14
2010,3007,11147.21,11,1013.3827272727272,8,14
2005,3007,3762.02,7,537.4314285714286,9,14
2018,3007,21379.04,27,791.8162962962963,0,15
2013,3007,21631.87,25,865.2747999999999,1,15
2006,3007,7917.47,10,791.7470000000001,2,15
2009,3008,15824.67,18,879.1483333333333,3,15
2011,3008,17894.45,19,941.8131578947368,4,15
2010,3008,19133.37,24,797.22375,5,15
2001,3008,1190.25,1,1190.25,6,15
2017,3008,19219.7,26,739.2192307692308,7,15
2012,3008,18773.68,20,938.684,8,15
1999,3008,612.23,2,306.115,9,15
2002,3008,5687.74,8,710.9675,0,16
2015,3008,32640.99,35,932.5997142857143,1,16
2020,3008,2930.6400000000003,2,1465.3200000000002,2,16
2018,3008,14862.35,19,782.228947368421,3,16
2008,3008,20738.420000000002,25,829.5368000000001,4,16
2005,3008,4924.97,8,615.62125,5,16
1996,3008,702.96,1,702.96,6,16
2006,3008,13717.449999999999,16,857.3406249999999,7,16
2004,3008,4541.3099999999995,5,908.262,8,16
2000,3008,2573.42,2,1286.71,9,16
2013,3008,15768.82,20,788.441,0,17
2016,3008,18280.94,24,761.7058333333333,1,17
2019,3008,21247.8,25,849.9119999999999,2,17
2014,3008,18536.47,22,842.5668181818182,3,17
2003,3008,1926.6999999999998,2,963.3499999999999,4,17
1998,3008,829.37,1,829.37,5,17
2007,3008,11331.85,13,871.6807692307692,6,17
2007,3009,14011.21,16,875.700625,7,17
2011,3009,15794.48,17,929.0870588235293,8,17
2005,3009,2027.38,4,506.845,9,17
2014,3009,18526.25,20,926.3125,0,18
2006,3009,11681.84,14,834.4171428571428,1,18
2001,3009,3235.54,4,808.885,2,18
2010,3009,21030.69,28,751.0960714285713,3,18
2004,3009,6619.93,6,1103.3216666666667,4,18
2020,3009,2346.34,4,586.585,5,18
2017,3009,25925.68,33,785.6266666666667,6,18
2019,3009,30116.2,36,836.5611111111111,7,18
2002,3009,4316.98,6,719.4966666666666,8,18
2009,3009,16832.14,24,701.3391666666666,9,18
2003,3009,5892.04,7,841.72,0,19
2016,3009,20067.09,24,836.12875,1,19
1992,3009,1771.04,2,885.52,2,19
2008,3009,17230.53,20,861.5264999999999,3,19
1999,3009,290.96,1,290.96,4,19
2013,3009,17877.510000000002,21,851.3100000000001,5,19
2015,3009,22654.43,23,984.9752173913043,6,19
2018,3009,24028.29,29,828.561724137931,7,19
2012,3009,5710.28,11,519.1163636363636,8,19
1998,3009,658.94,1,658.94,9,19
2000,3009,1052.3,2,526.15,0,20
2000,3058,11979.86,15,798.6573333333333,1,20
1999,3058,10216.12,18,567.5622222222223,2,20
2015,3058,171629.15,222,773.1042792792792,3,20
1991,3058,355.71,1,355.71,4,20
2002,3058,36008.61,47,766.1406382978723,5,20
2014,3058,165840.59,218,760.7366513761468,6,20
2007,3058,89443.0,121,739.198347107438,7,20
1994,3058,1603.2099999999998,2,801.6049999999999,8,20
2010,3058,135379.4,180,752.1077777777778,9,20
2003,3058,38603.78,54,714.8848148148148,0,21
2018,3058,162072.2,209,775.4650717703349,1,21
1998,3058,4026.71,8,503.33875,2,21
2012,3058,166477.69,219,760.172100456621,3,21
2008,3058,102133.64,150,680.8909333333334,4,21
1995,3058,2565.72,4,641.43,5,21
1993,3058,1591.72,4,397.93,6,21
1996,3058,3562.89,6,593.8149999999999,7,21
2009,3058,121579.41,156,779.3551923076923,8,21
1997,3058,4436.07,7,633.7242857142857,9,21
2020,3058,16013.1,23,696.2217391304348,0,22
2004,3058,61363.55,72,852.2715277777778,1,22
2001,3058,18614.42,29,641.8765517241379,2,22
2019,3058,152218.41,201,757.3055223880597,3,22
2006,3058,96396.95,124,777.394758064516,4,22
2013,3058,155289.51,225,690.1756,5,22
2011,3058,151362.37,208,727.7037019230769,6,22
2017,3058,150506.78,197,763.993807106599,7,22
2005,3058,61330.67,83,738.923734939759,8,22
2016,3058,157321.57,212,742.0828773584906,9,22
2008,3066,86384.72,121,713.923305785124,0,23
1995,3066,817.48,3,272.49333333333334,1,23
2012,3066,142286.59,189,752.8391005291005,2,23
2011,3066,145196.31,193,752.3124870466321,3,23
2003,3066,27518.0,38,724.1578947368421,4,23
2006,3066,61068.43,87,701.9359770114943,5,23
1996,3066,975.64,2,487.82,6,23
1992,3066,66.43,1,66.43,7,23
2020,3066,10910.92,13,839.3015384615385,8,23
2018,3066,135257.9,180,751.4327777777778,9,23
2016,3066,131941.62,180,733.009,0,24
1998,3066,3224.0299999999997,6,537.3383333333333,1,24
1993,3066,886.8000000000001,2,443.40000000000003,2,24
2004,3066,34219.22,52,658.0619230769231,3,24
2013,3066,121812.76,176,692.1179545454545,4,24
2017,3066,118144.99,167,707.4550299401197,5,24
2009,3066,108999.96,151,721.8540397350994,6,24
1997,3066,1745.05,3,581.6833333333333,7,24
2014,3066,140900.72,186,757.530752688172,8,24
2019,3066,133594.0,187,714.4064171122994,9,24
1999,3066,13325.08,19,701.32,0,25
2002,3066,23931.8,35,683.7657142857142,1,25
2001,3066,14121.64,23,613.984347826087,2,25
2015,3066,131541.38,178,738.9965168539326,3,25
2007,3066,90969.89,121,751.8172727272727,4,25
2000,3066,16488.43,26,634.1703846153846,5,25
2010,3066,129058.25,168,768.203869047619,6,25
2005,3066,71447.44,89,802.7802247191012,7,25
2012,3075,17954.13,24,748.08875,8,25
2016,3075,26178.38,28,934.9421428571429,9,25
2008,3075,8335.56,9,926.1733333333333,0,26
2003,3075,4064.39,5,812.8779999999999,1,26
2018,3075,14795.2,17,870.3058823529412,2,26
2006,3075,7735.03,11,703.1845454545454,3,26
2007,3075,9372.44,12,781.0366666666667,4,26
2019,3075,17076.93,21,813.1871428571428,5,26
2013,3075,17447.18,24,726.9658333333333,6,26
2014,3075,24729.01,27,915.8892592592592,7,26
1997,3075,419.7,1,419.7,8,26
2020,3075,3372.23,4,843.0575,9,26
2009,3075,14210.029999999999,19,747.8963157894736,0,27
2010,3075,19175.579999999998,24,798.9825,1,27
2000,3075,2537.99,3,845.9966666666666,2,27
1999,3075,1424.33,3,474.77666666666664,3,27
2001,3075,1578.58,2,789.29,4,27
2002,3075,2668.4,3,889.4666666666667,5,27
2015,3075,23667.739999999998,29,816.1289655172413,6,27
2004,3075,7222.27,9,802.4744444444445,7,27
2005,3075,3658.98,6,609.83,8,27
2011,3075,22459.91,23,976.5178260869565,9,27
2017,3075,14885.65,16,930.353125,0,28
1992,3132,65.49,1,65.49,1,28
2001,3132,27161.4,36,754.4833333333333,2,28
2010,3132,145682.6,191,762.7361256544503,3,28
2012,3132,135220.03,177,763.9549717514125,4,28
1994,3132,774.03,2,387.015,5,28
2014,3132,126964.98,164,774.1767073170731,6,28
2011,3132,135348.49,181,747.7817127071822,7,28
2002,3132,20242.28,35,578.3508571428571,8,28
2020,3132,15159.43,22,689.065,9,28
2000,3132,17851.37,23,776.1465217391304,0,29
2013,3132,128452.27,180,713.6237222222222,1,29
2007,3132,87986.86,111,792.6744144144144,2,29
1995,3132,3331.94,6,555.3233333333334,3,29
2009,3132,107258.69,152,705.6492763157895,4,29
1999,3132,5275.41,8,659.42625,5,29
2003,3132,33656.2,49,686.8612244897959,6,29
2008,3132,89268.0,113,789.9823008849557,7,29
2004,3132,49207.31,67,734.4374626865671,8,29
2018,3132,135009.84,181,745.9107182320441,9,29
2006,3132,58593.9,95,616.7778947368421,0,30
2016,3132,146066.49,195,749.0589230769231,1,30
2005,3132,58845.2,86,684.2465116279069,2,30
2019,3132,127765.72,178,717.7849438202247,3,30
1993,3132,1188.49,2,594.245,4,30
1998,3132,2428.88,4,607.22,5,30
2015,3132,154560.33,202,765.1501485148514,6,30
2017,3132,162236.42,219,740.8055707762558,7,30
1997,3132,1594.5700000000002,2,797.2850000000001,8,30
2016,3144,16935.43,24,705.6429166666667,9,30
2017,3144,15760.46,19,829.4978947368421,0,31
2000,3144,347.74,1,347.74,1,31
2006,3144,10783.71,13,829.5161538461538,2,31
2005,3144,13756.63,19,724.0331578947367,3,31
2011,3144,14682.03,17,863.6488235294119,4,31
2013,3144,15087.44,16,942.965,5,31
2001,3144,2456.6,4,614.15,6,31
2020,3144,1864.14,2,932.07,7,31
2014,3144,18442.06,20,922.1030000000001,8,31
1997,3144,587.82,1,587.82,9,31
1998,3144,886.75,1,886.75,0,32
2002,3144,1435.3400000000001,3,478.4466666666667,1,32
2019,3144,15722.029999999999,19,827.4752631578947,2,32
2009,3144,14152.57,16,884.535625,3,32
2007,3144,11856.78,15,790.452,4,32
2003,3144,4266.98,7,609.5685714285713,5,32
2015,3144,13335.48,17,784.4399999999999,6,32
2010,3144,13965.95,20,698.2975,7,32
2018,3144,25711.92,31,829.4167741935483,8,32
2012,3144,20003.16,24,833.465,9,32
2004,3144,4894.23,8,611.77875,0,33
2008,3144,13729.5,15,915.3,1,33
1996,3144,920.73,1,920.73,2,33
2016,3174,168059.45,216,778.0530092592593,3,33
2020,3174,22438.34,27,831.0496296296296,4,33
2004,3174,46516.89,63,738.3633333333333,5,33
2019,3174,137667.28,193,713.3019689119171,6,33
1996,3174,2118.8900000000003,3,706.2966666666667,7,33
2011,3174,131534.87,185,710.9992972972973,8,33
2017,3174,146025.96,201,726.4973134328358,9,33
2012,3174,139058.0,188,739.6702127659574,0,34
2015,3174,125232.2,181,691.8906077348066,1,34
2009,3174,112311.99,156,719.9486538461539,2,34
1993,3174,570.14,1,570.14,3,34
2005,3174,55019.17,81,679.249012345679,4,34
2002,3174,23990.42,35,685.4405714285714,5,34
2010,3174,134908.19,190,710.0431052631579,6,34
1999,3174,4425.35,7,632.1928571428572,7,34
1997,3174,2021.02,3,673.6733333333333,8,34
1992,3174,71.37,1,71.37,9,34
1991,3174,73.65,1,73.65,0,35
1994,3174,485.91,2,242.955,1,35
2001,3174,17085.08,25,683.4032000000001,2,35
2003,3174,34268.08,46,744.9582608695653,3,35
2007,3174,74535.31,103,723.6437864077669,4,35
1998,3174,4529.639999999999,9,503.2933333333333,5,35
2018,3174,134963.76,189,714.0939682539683,6,35
2014,3174,135949.69,192,708.0713020833333,7,35
2000,3174,14928.63,20,746.4314999999999,8,35
2013,3174,147376.97,194,759.6751030927835,9,35
2006,3174,73564.89,97,758.4009278350516,0,36
2008,3174,118735.9,164,723.9993902439024,1,36
2001,3256,17946.87,27,664.6988888888889,2,36
2000,3256,13427.86,19,706.7294736842106,3,36
1999,3256,5700.25,9,633.3611111111111,4,36
2002,3256,17390.93,26,668.881923076923,5,36
2004,3256,51576.23,67,769.7944776119404,6,36
1997,3256,1668.98,3,556.3266666666667,7,36
2017,3256,138875.99,198,701.3938888888888,8,36
2003,3256,36016.33,52,692.6217307692308,9,36
1998,3256,5280.51,8,660.06375,0,37
2020,3256,22642.38,25,905.6952,1,37
2005,3256,73745.11,99,744.900101010101,2,37
2006,3256,80213.67,108,742.7191666666666,3,37
2009,3256,103331.05,140,738.0789285714286,4,37
1994,3256,1993.45,4,498.3625,5,37
2015,3256,128453.61,179,717.6179329608939,6,37
2016,3256,144932.08,196,739.449387755102,7,37
2018,3256,165144.0,227,727.5066079295154,8,37
2019,3256,137160.23,184,745.4360326086957,9,37
1995,3256,3121.79,3,1040.5966666666666,0,38
2007,3256,84801.58,118,718.6574576271187,1,38
2008,3256,103867.36,141,736.6479432624113,2,38
2011,3256,132637.91,185,716.9616756756757,3,38
1993,3256,671.3,1,671.3,4,38
2014,3256,139489.48,189,738.0395767195768,5,38
2010,3256,132916.53,172,772.7705232558139,6,38
2013,3256,128900.09,180,716.1116111111111,7,38
1996,3256,1793.54,3,597.8466666666667,8,38
2012,3256,141656.4,196,722.7367346938776,9,38
2003,3260,23421.45,39,600.5500000000001,0,39
2007,3260,83075.9,119,698.116806722689,1,39
2017,3260,117823.08,162,727.302962962963,2,39
2015,3260,139947.96,201,696.2585074626866,3,39
2011,3260,135260.15,182,743.1876373626374,4,39
2008,3260,87028.89,122,713.3515573770492,5,39
2000,3260,15466.94,17,909.82,6,39
1995,3260,761.21,2,380.605,7,39
1992,3260,578.13,1,578.13,8,39
1997,3260,1787.98,3,595.9933333333333,9,39
2001,3260,29279.69,39,750.761282051282,0,40
2010,3260,146591.64,196,747.916530612245,1,40
2002,3260,29375.38,44,667.6222727272727,2,40
2009,3260,114737.0,154,745.0454545454545,3,40
2020,3260,15334.05,21,730.1928571428571,4,40
1998,3260,3395.05,6,565.8416666666667,5,40
2012,3260,123852.07,170,728.5415882352942,6,40
1993,3260,1466.4199999999998,3,488.8066666666666,7,40
2006,3260,57187.52,84,680.8038095238095,8,40
1996,3260,2474.46,4,618.615,9,40
2005,3260,63092.78,93,678.4169892473118,0,41
2013,3260,132452.49,184,719.8504891304348,1,41
2016,3260,140835.95,190,741.2418421052632,2,41
2014,3260,156790.08,219,715.9364383561643,3,41
1999,3260,6309.51,6,1051.585,4,41
2019,3260,138710.91,187,741.7695721925134,5,41
2018,3260,149112.66,210,710.0602857142858,6,41
2004,3260,39069.32,54,723.5059259259259,7,41
2000,3359,8256.59,31,266.34161290322584,8,41
2011,3359,75482.64,337,223.9840949554896,9,41
1995,3359,1050.3700000000001,6,175.0616666666667,0,42
1991,3359,694.62,2,347.31,1,42
2019,3359,77579.83,318,243.96172955974842,2,42
1998,3359,1158.21,4,289.5525,3,42
1997,3359,1623.19,7,231.8842857142857,4,42
2015,3359,75692.83,318,238.0277672955975,5,42
2010,3359,82971.63,347,239.111325648415,6,42
2001,3359,11202.0,49,228.6122448979592,7,42
2014,3359,79233.47,340,233.03961764705883,8,42
2009,3359,69192.51,293,236.15191126279862,9,42
2002,3359,13203.02,62,212.95193548387098,0,43
2005,3359,26763.09,123,217.58609756097562,1,43
1993,3359,1158.55,4,289.6375,2,43
2006,3359,41972.07,179,234.4808379888268,3,43
2008,3359,50270.18,208,241.6835576923077,4,43
2020,3359,9525.09,45,211.66866666666667,5,43
2012,3359,69108.75,303,228.08168316831683,6,43
2016,3359,68523.45,296,231.4981418918919,7,43
1992,3359,1735.29,7,247.89857142857142,8,43
2003,3359,13735.1,66,208.10757575757577,9,43
2017,3359,71663.3,336,213.28363095238097,0,44
2007,3359,44735.0,201,222.56218905472636,1,44
2004,3359,21063.04,95,221.7162105263158,2,44
1994,3359,492.51,3,164.17,3,44
2013,3359,64072.26,274,233.84036496350365,4,44
2018,3359,85978.1,361,238.16648199445984,5,44
1999,3359,2060.61,13,158.50846153846155,6,44
1996,3359,2992.53,11,272.04818181818183,7,44
2017,3387,72075.58,318,226.6527672955975,8,44
2009,3387,50206.23,218,230.30380733944955,9,44
2020,3387,11983.09,50,239.6618,0,45
2018,3387,69596.19,301,231.21657807308972,1,45
2014,3387,72832.07,318,229.0316666666667,2,45
2013,3387,71451.29,310,230.4880322580645,3,45
2012,3387,71661.1,308,232.6659090909091,4,45
2010,3387,66163.81,289,228.94051903114186,5,45
1998,3387,2648.69,12,220.72416666666666,6,45
1999,3387,2753.77,14,196.69785714285715,7,45
1994,3387,615.01,2,307.505,8,45
2011,3387,72732.45,322,225.87717391304346,9,45
2000,3387,5618.66,24,234.11083333333332,0,46
2001,3387,8536.58,38,224.64684210526315,1,46
2015,3387,76162.95,340,224.00867647058823,2,46
2005,3387,34309.98,152,225.72355263157897,3,46
2002,3387,8046.19,38,211.74184210526315,4,46
1995,3387,1128.0,4,282.0,5,46
2008,3387,50816.45,224,226.85915178571426,6,46
2016,3387,75729.12,322,235.18360248447203,7,46
2019,3387,73422.86,320,229.4464375,8,46
2007,3387,33267.72,144,231.02583333333334,9,46
2004,3387,25370.239999999998,115,220.61078260869564,0,47
2003,3387,19240.13,82,234.6357317073171,1,47
1997,3387,2091.27,9,232.36333333333334,2,47
1996,3387,1674.58,7,239.22571428571428,3,47
2006,3387,40770.37,173,235.66687861271677,4,47
2016,3389,68922.99,286,240.98947552447555,5,47
1995,3389,1432.02,6,238.67,6,47
2011,3389,67055.67,295,227.3073559322034,7,47
2018,3389,76630.28,329,232.91878419452888,8,47
2006,3389,32903.05,148,222.3179054054054,9,47
2020,3389,13347.24,61,218.8072131147541,0,48
2017,3389,75566.43,326,231.79886503067482,1,48
2007,3389,44286.0,202,219.23762376237624,2,48
1999,3389,4172.76,17,245.4564705882353,3,48
2004,3389,23013.43,103,223.43135922330097,4,48
2008,3389,50351.99,222,226.81076576576575,5,48
2003,3389,16617.83,74,224.5652702702703,6,48
2012,3389,66004.57,292,226.0430479452055,7,48
1996,3389,1394.09,6,232.34833333333333,8,48
1998,3389,2379.57,12,198.2975,9,48
2013,3389,73980.8,318,232.6440251572327,0,49
2000,3389,9050.78,41,220.7507317073171,1,49
2015,3389,80876.29,342,236.48038011695905,2,49
2001,3389,13495.1,57,236.7561403508772,3,49
2005,3389,27568.79,117,235.63068376068378,4,49
2019,3389,76295.32,319,239.17028213166145,5,49
2014,3389,64274.88,275,233.72683636363635,6,49
2010,3389,58850.97,250,235.40388000000002,7,49
1997,3389,2853.56,12,237.79666666666665,8,49
2009,3389,56601.92,233,242.92669527896996,9,49
1993,3389,359.78999999999996,2,179.89499999999998,0,50
2002,3389,10391.7,48,216.49375,1,50
2009,3390,58811.6,248,237.14354838709676,2,50
2020,3390,17315.06,72,240.48694444444448,3,50
2014,3390,72041.19,311,231.64369774919615,4,50
2017,3390,74858.65,311,240.7030546623794,5,50
2003,3390,19329.16,86,224.75767441860464,6,50
2005,3390,33888.35,151,224.42615894039733,7,50
1998,3390,3223.11,12,268.59250000000003,8,50
2015,3390,82683.04,343,241.05842565597666,9,50
2002,3390,13074.7,60,217.9116666666667,0,51
2012,3390,71028.78,298,238.35161073825503,1,51
2006,3390,35562.33,162,219.52055555555557,2,51
2016,3390,79431.67,346,229.57130057803468,3,51
1999,3390,2649.5299999999997,10,264.953,4,51
2018,3390,71670.08,301,238.1065780730897,5,51
2019,3390,67895.38,307,221.15758957654725,6,51
1995,3390,459.08,2,229.54,7,51
2011,3390,77293.81,329,234.93559270516715,8,51
1993,3390,643.4,4,160.85,9,51
2000,3390,10081.36,45,224.03022222222222,0,52
2010,3390,72153.54,302,238.91900662251655,1,52
2001,3390,9793.4,42,233.17619047619047,2,52
1997,3390,1569.52,7,224.21714285714285,3,52
1996,3390,1489.57,5,297.914,4,52
2013,3390,74702.01,323,231.27557275541795,5,52
2008,3390,56797.67,240,236.65695833333334,6,52
2004,3390,22800.17,98,232.65479591836734,7,52
2007,3390,50972.94,233,218.76798283261803,8,52
2014,3393,65528.96,286,229.12223776223775,9,52
2004,3393,22530.31,96,234.69072916666667,0,53
1998,3393,3616.67,14,258.3335714285714,1,53
1993,3393,905.76,3,301.92,2,53
2005,3393,36903.09,167,220.97658682634727,3,53
2006,3393,36862.24,167,220.73197604790417,4,53
1996,3393,1219.0900000000001,4,304.77250000000004,5,53
2013,3393,78159.34,331,236.13093655589122,6,53
2019,3393,63346.15,275,230.34963636363636,7,53
2016,3393,77325.28,336,230.1347619047619,8,53
2002,3393,13129.37,54,243.1364814814815,9,53
2000,3393,5376.12,26,206.77384615384614,0,54
1995,3393,242.89,1,242.89,1,54
2008,3393,54043.58,234,230.9554700854701,2,54
2018,3393,74086.68,314,235.9448407643312,3,54
2011,3393,76869.13,321,239.46769470404985,4,54
2001,3393,12130.92,48,252.7275,5,54
1994,3393,2078.02,8,259.7525,6,54
2007,3393,45030.4,197,228.58071065989847,7,54
1997,3393,476.21000000000004,3,158.73666666666668,8,54
2010,3393,63260.24,264,239.62212121212121,9,54
2015,3393,62952.48,273,230.59516483516484,0,55
2012,3393,80219.2,338,237.33491124260354,1,55
1999,3393,4416.43,18,245.35722222222225,2,55
2020,3393,11799.05,50,235.981,3,55
2017,3393,75262.62,326,230.8669325153374,4,55
2009,3393,59690.5,241,247.67842323651453,5,55
2003,3393,15643.25,71,220.32746478873239,6,55
2015,3395,81152.24,350,231.86354285714287,7,55
2019,3395,69941.88,305,229.31763934426232,8,55
2009,3395,53643.06,239,224.44794979079498,9,55
2002,3395,11074.82,48,230.72541666666666,0,56
2014,3395,70474.36,295,238.89613559322035,1,56
2018,3395,69671.59,302,230.70062913907284,2,56
2013,3395,76154.35,320,237.98234375,3,56
2000,3395,4812.36,21,229.16,4,56
2016,3395,72285.32,315,229.47720634920637,5,56
2011,3395,69583.71,295,235.87698305084749,6,56
2007,3395,48199.15,206,233.97645631067962,7,56
2004,3395,26486.09,113,234.39017699115044,8,56
2006,3395,38831.08,171,227.08233918128656,9,56
2003,3395,16862.01,73,230.98643835616437,0,57
2008,3395,45454.61,201,226.1423383084577,1,57
1999,3395,2650.86,13,203.9123076923077,2,57
2017,3395,70501.42,312,225.96608974358975,3,57
